"District IRN","% enrolled less than 3 years","Charter Transfer"
"048959","","",""
"44354.0","","","1457929.26"
"046383","046383","36.7",""
"47365.0","","","2812342.93"
"47738.0","","","120269.49"
"050286","050286","37.5",""
"43992.0","","","720081.49"
"44826.0","","","459992.50"
"47829.0","","","379957.20"
"48728.0","","","1040407.09"
"46433.0","","","126468.49"
"043786","043786","47.7",""
"051656","","",""
"043836","043836","41.4",""
"45864.0","","","366853.31"
"046144","046144","29.6",""
"50484.0","","","213579.51"
"051284","","",""
"043935","043935","37.5",""
"047472","047472","44.0",""
"048025","048025","38.3",""
"48389.0","","","295684.92"
"48496.0","","","131371.90"
"044560","044560","36.7",""
"44214.0","","","1350939.37"
"45609.0","","","264684.88"
"044966","044966","36.4",""
"43885.0","","","118557.68"
"45237.0","","","76440.82"
"46425.0","","","501565.97"
"044362","044362","35.8",""
"49726.0","","","26275.50"
"045062","045062","32.7",""
"48397.0","","","81570.43"
"44669.0","","","2894130.49"
"044883","044883","34.7",""
"047597","047597","33.8",""
"43869.0","","","270055.79"
"049387","049387","31.2",""
"45583.0","","","519431.03"
"46672.0","","","85818.05"
"047506","047506","31.8",""
"46383.0","","","358909.25"
"050252","050252","36.7",""
"045542","045542","35.1",""
"50054.0","","","213399.29"
"046706","046706","34.9",""
"047738","047738","35.9",""
"50542.0","","","140527.16"
"46748.0","","","586675.33"
"051532","","",""
"051334","","",""
"047183","047183","31.4",""
"47092.0","","","320630.76"
"048975","048975","0.0",""
"50591.0","","","249617.15"
"047266","047266","32.2",""
"048579","048579","26.5",""
"044115","044115","39.6",""
"43893.0","","","261854.98"
"50534.0","","","271842.45"
"46607.0","","","210028.51"
"45377.0","","","120068.43"
"46151.0","","","282120.61"
"047464","047464","33.0",""
"46268.0","","","384881.24"
"043943","043943","40.3",""
"43877.0","","","1307675.90"
"043760","043760","37.4",""
"50062.0","","","855509.13"
"048389","048389","32.9",""
"050351","050351","27.8",""
"051474","","",""
